id,freq_rank,t_word,freq_english,freq_ipa,frequency,freq_example,smart_match_id,dict_id,rom_id,e_dict,e_dict_v,dict_category,rom_category,romanization,phonetic,_sample_sentence,t_def,t_syn,t_ant,e_related,etymology,domain,match_type
1,1,3,at,tʰîː,773568,เขาได้รับรางวัลที่ 1 ในการประกวดวาดภาพ,3134,24608,10101,at,at ; to ; in,PREP,prep.,thī,\thī,พจนานุกรมมโนทัศน์พัฒนาอยู่ที่อีดีอาร์,,"ใน, ณ",,,,,matched
2,2,ได้,can,dâj,378303,นักท่องเที่ยวได้ข้อมูลนี้จากหนังสือนำเที่ยว,2400,21222,1242,can,can ; be able to ; be capable of,ADV,v. (aux.),dāi [= dai],\dāi [= \dai],เด็กจะกินข้าวได้ต่อเมื่อล้างมือเรียบร้อยแล้ว,,อนุญาต,,may,,TOURIST,matched
3,3,จะ,will,tɕàʔ,481733,การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน,1763,33013,1989,will,"will ; shall ; gonna ; [future mark, action to be completed]",AUX,v.,ja,_ja,การอนุรักษ์สิ่งแวดล้อมจะสัมฤทธิ์ผลได้ถ้าทุกคนร่วมมือกัน,เป็นคำช่วยกริยาบอกอนาคต,จัก,,shall,,GRAMMA ; RID,matched
9,9,ต้อง,must,tɔ̂ŋ,146008,มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น,18630,22592,,must,must,AUX,,t̂xng,,มนุษย์เราจำเป็นต้องใช้ชีวิตร่วมกับผู้อื่น,เป็นกริยาช่วยบอกความแน่ใจหรือบังคับ,"จำต้อง, จำเป็นต้อง",,shall; ought to,,,dict_only
16,16,ขึ้น,increase; up,kʰɯ̂n,137092,ตอนนี้ชะตาของเขากำลังขึ้น ทำอะไรก็รวยไปหมด,,,,,increase; up,,,k̄hụ̂n,,,,,,,,,freq_only
25,26,คน,person,kʰon,214854,ในสมัยก่อนคนยังอาศัยอยู่ในถ้ำ และใช้อาวุธง่ายๆ ในการล่าสัตว์,,,,,person,,,khn,,,,,,,,,freq_only
7,7,มี,have; there is,miː,480238,อาหารหลักที่สำคัญต่อชีวิตเรามี 5 หมู่,5013,11944,5645,have,have ; own ; possess,V,v.,mī,#NAME?,เขามีสุนัขอยู่ที่บ้านเกือบ 10 ตัวทั้งหมดเป็นพันธุ์ไทยหลังอาน,ถือครองเป็นเจ้าของ,,,own; possess,,RID ; TOURIST,matched
8,8,ให้,for,hâj,345123,ยานอนหลับและยากล่อมประสาทห้ามซื้อกินเอง ถ้าจะกินต้องให้หมอสั่งยา,7357,7938,1675,to,to ; for ; for the benefit of,AUX,prep.,hai [= hāi],\hai [= \hāi],ขณะที่เราเข้าไปใกล้ปากน้ำผู้บังคับการเรือก็สั่งให้หยั่งดูความลึกของน้ำ,"เป็นคำช่วยบอกความบังคับเช่น สั่งให้ทำ, บอกให้ทำ",,,,,,matched
26,27,แต่,but,tɛ̀ː,163697,คราวใดที่แม่สั่งให้ซื้อผลไม้ แม่ต้องกำชับว่าให้เลือกแต่ลูกโตๆ,,,,,but,,,tæ̀,,,,,,,,,freq_only
10,10,ของ,of,kʰɔ̌ːŋ,480700,ชมรมค่ายอาสาพัฒนาขอบริจาคของที่เหลือใช้จากประชาชนทั่วไป,667,32363,3635,of,of ; belonging to,PREP,prep.,khøng,/khøng,บ้านของเขาคือหลังสีฟ้าที่ตั้งอยู่ริมถนน,,,,,,,matched
11,11,กับ,with,kàp,188374,เขาวางเหยื่อล่อเพื่อให้หนูมาติดกับ,324,31626,2835,with,with ; in the company of,PREP,prep.,kap,_kap,พยานเห็นเหตุการณ์กับตาจึงได้แจ้งตำรวจ,,ด้วย,,by,,RID,matched
12,12,ไม่,not,mâj,435872,นมข้นหวานก็เป็นนมที่มีความหวานมากเกินไปไม่เหมาะสำหรับเด็ก,5134,11817,5299,not,not,NEG,adv. (neg.),mai [= mei],\mai [= \mei],ถึงเขาจะต้องเจออุปสรรคมากมาย แต่สิ่งเหล่านี้ไม่ทำให้เขาย่อท้อแม้แต่นิดเดียว,,มิ,,no,,,matched
13,13,และ,and,lɛ́ʔ,443806,เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน,5952,18048,4755,and,and ; in addition ; moreover,CONJ,conj.,lae,¯lae,เครื่องจักรทุกชนิดจะต้องมีมนุษย์เป็นผู้ควบคุมและสั่งการใช้งาน,,"กับ, ด้วยกัน",,,,,matched
14,14,ใน,in,naj,505903,เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล,3552,11895,5868,in,in ; inner ; inside ; within ; on ; at,PREP,prep.,nai,#NAME?,เขาต้องการจะสอบเข้าเรียนในมหาวิทยาลัยมหิดล,,"ข้างใน, ภายใน",นอก,,ใน (khm),RID ; TOURIST,matched
15,15,กัน,together,kan,167464,เธอและเขารักกันมานานแล้ว,317,31592,2479,together,one another ; each other ; mutually ; together ; jointly,ADV,adv.,kan,#NAME?,นักฟุตบอลทีมเยาวชนร่วมทำบุญตักบาตรกันในวันสถาปนากรมพละศึกษา,,ด้วยกัน,,jointly,,RID,matched
17,17,ด้วย,with; also,dûaj,138886,หัวหน้าไปกินข้าวด้วยกับลูกน้องทุกครั้ง,2274,33599,1455,with,with ; by ; through ; due to,PREP,prep.,dūay,\dūay,เขาทำทุกอย่างลงไปด้วยอารมณ์ ไม่มีเหตุผลใดๆ ทั้งสิ้น,,ตาม,,,,RID,matched
18,18,จาก,from,tɕàːk,164860,ทางแถบชายฝั่งทะเลภาคตะวันออกจะเห็นจากขึ้นอยู่ทั่วไป,1802,38182,2021,from,from ; away ; off ; arising from,PREP,prep.,jāk,_jāk,จากเมื่อวานถึงวันนี้ เขาก็ยังทำงานไม่เสร็จ,,ตั้งแต่,"ถึง, จนกระทั่ง",,,RID,matched
19,20,ไป,go,paj,340176,เขาไปกรุงโรม,4272,16708,6572,go,go ; leave ; proceed ; move,V,v.,pai,#NAME?,เขาไปกรุงโรม,เคลื่อนออกจากที่,"จาก, เดินทาง, เคลื่อน, ดำเนิน",มา,leave; depart; move forward,,MINENG ; TOURIST,matched
20,21,มา,come,maː,304930,เขามาตั้งแต่เมื่อตอนเช้ามืดแล้ว,4964,11935,5221,arrive,come ; arrive,V,v.,mā,#NAME?,เขามาตั้งแต่เมื่อตอนเช้ามืดแล้ว,"เคลื่อนออกจากที่, ตรงกันข้ามกับ ไป",,,come; reach; show up; turn up,,RID ; TOURIST,matched
21,22,ถึง,reach; arrive at,tʰɯ̌ŋ,84001,ถึงพ่อจะใจดีแค่ไหน ท่านก็คงจะไม่อนุญาตให้เราไปเที่ยวกลางคืน,2888,23400,10085,reach,reach ; arrive at ; arrive in ; get to,V,v.,theung,/theung,ทุกคนถึงที่หมายอย่างปลอดภัย,ไปจนอยู่ที่จุดหมาย,"บรรลุจุดหมาย, ลุ, บรรลุ",,arrive; get to,,RID,matched
22,23,กว่า,than,kwàː,68702,คนน้องสูงกว่าคนพี่มาก,249,31342,4739,over,more ; more than ; over ; as [comparative],DET,conj.,kwā,_kwā,มีคนเข้าประชุมเรื่องการรักษาสิ่งแวดล้อมในครั้งนี้ร้อยกว่าคน,,เกิน,,more than,,GRAMMA ; RID,matched
